batch_size,epoch,average_memory_utilization,average_gpu_utilization,training_time
100,10,1.2739992960000002,75.8,62.46330690383911
100,20,1.43831744,68.9,121.09754085540771
100,30,1.5798422826666667,70.36666666666666,181.35683941841125
100,40,1.7024777119999999,72.275,242.00263571739197
200,10,1.417801408,83.6,51.291327476501465
200,20,1.5730845440000003,86.4,100.30197310447693
200,30,1.7112568106666664,86.93333333333334,150.39337396621704
200,40,1.854594048,86.225,200.25092196464539
300,10,1.534545472,82.6,52.33027410507202
300,20,1.657490432,83.75,102.01771354675293
300,30,1.7957709440000003,83.43333333333334,152.87724375724792
300,40,1.8893072640000002,83.65,203.16286206245422
400,10,1.567747328,90.3,47.69060158729553
400,20,1.671337088,90.85,92.59940791130066
400,30,1.7833162879999997,92.2,138.2047176361084
400,40,1.889661088,91.725,184.01594972610474
500,10,2.019700224,92.0,46.57342576980591
500,20,1.541018016,91.55,91.29128289222717
500,30,1.6743968,93.4,136.72400522232056
500,40,1.802523168,93.375,181.54761385917664
600,10,1.918401664,90.3,48.159499645233154
600,20,1.5657675199999999,90.25,93.62942314147949
600,30,1.6584327466666662,90.2,140.13307428359985
600,40,1.773432128,90.475,186.73956179618835
700,10,1.855005248,90.4,47.778746366500854
700,20,1.558590272,91.35,92.96256637573242
700,30,1.6722281173333329,91.66666666666667,138.39502120018005
700,40,1.7993612320000003,91.85,183.84721851348877
800,10,1.9142782720000002,92.6,47.48143815994263
800,20,1.616320512,92.3,92.09007096290588
800,30,1.7417437439999996,92.06666666666666,137.20009303092957
800,40,1.86056024,92.85,182.36055707931519
